FAM,Auction Tract Number,Term Sheet,Township,Range,Section,Survey,Acres,County,Surface Ownership
FAM008897,1,TRMS2868,11N,58W,36,ALL,640,Weld,Yes
FAM015872,2,TRMS2869,9N,57W,16,ALL,640,Weld,Yes
FAM008896,3,TRMS2870,11N,58W,16,ALL,640,Weld,Yes
FAM008895,4,TRMS2871,11N,57W,36,ALL,640,Weld,Yes
FAM014717,5,TRMS2872,6N,88W,29,E2SW,80,Routt,Partial
FAM012086,6,TRMS2874,25S,64W,36,ALL,640,Huerfano,No
FAM012214,7,TRMS2875,26S,62W,24,SESW,40,Las Animas,No
FAM012358,8,TRMS2876,28S,53W,36,ALL,640,Las Animas,No
FAM012218,9,TRMS2877,26S,64W,16,ALL,640,Huerfano,No
FAM012962,10,TRMS2880,31S,52W,27,W2,320,Las Animas,No
FAM012963,11,TRMS2881,31S,52W,36,ALL,640,Las Animas,No
FAM013211,12,TRMS2886,33S,55W,10,SE,160,Las Animas,No
FAM013213,13,TRMS2887,33S,55W,15,NWNE,40,Las Animas,No
FAM013425,14,TRMS2888,35S,58W,16,"N2N2, LOTS 1,2",208.04,Las Animas,Yes
,,,,,,,,,
,,,,,,Total Acreage:,"5,968.04",,
